"Year","AggregatedValue"
2010-01-01,5.96437659033079
2011-01-01,5.93434343434343
2012-01-01,5.67630853994491
2013-01-01,13.3369845360825
2014-01-01,12.5235091743119
2015-01-01,18.8365384615385
2016-01-01,28.1539491298527
2017-01-01,27.0740740740741
2018-01-01,25.3712962962963
2019-01-01,21.1822721598002
2020-01-01,20.5211754537597
2021-01-01,20.6153846153846
2022-01-01,23.125
2023-01-01,NA
