"","Country","Value"
"1","Kyrgyzstan",20.1
"2","Uzbekistan",17.84
"3","Serbia",9.1
"4","Montenegro",7.7
"5","Belarus",4
"6","Armenia",3.9
"7","North Macedonia",2.4
"8","Türkiye",1.864
"9","Georgia",1.5
"10","Turkmenistan",0.261
