"","Country","MeanOverTime"
"1","Belgium",68.035
"2","Bulgaria",86.1
"3","Estonia",74.7428571428571
"4","Finland",85.9875
"5","France",86.3333333333333
"6","Germany",75.35
"7","Iceland",91.9222222222222
"8","Ireland",75
"9","Italy",60.6
"10","Kyrgyzstan",64.918
"11","Latvia",75
"12","Luxembourg",74.06
"13","Poland",64.4
"14","Russian Federation",89.85
"15","Sweden",73.2222222222222
"16","Switzerland",79.1475
"17","Türkiye",59.2555555555556
