"AgeGroup","Average"
"15-19",12.9126777571429
"20-24",14.3929376428571
"25-29",14.6031062928571
"30-34",16.2312341785714
"35-39",16.0172622142857
"40-44",16.2061664285714
"45-49",15.5227407857143
