"","AgeGroup","Mean"
"1","45-49",24.2666666666667
"2","35-39",23.4666666666667
"3","40-44",22.7666666666667
"4","30-34",22.25
"5","25-29",18.8166666666667
"6","20-24",13.3666666666667
"7","15-19",7.76666666666667
